Clone name,Pathogen,Species,Reaction,Part,Notes,Refcode,Infection,Info,Accession
APA 4,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
BB 1-33 [BR2],Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
BB 1-33 [BR2],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
BB 6018 [BR2],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
BB 6021 [BR2],Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
BB 6021 [BR2],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
BE 10,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
BE 4,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CAB 5003 /23,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth and the production of perithecia.,
CATIE 1000,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CATONGO,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CB 205 [BRA],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CB1 205,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CCN 10,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth and the production of perithecia.,
CCN 34,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CCN 51,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CEPEC 10,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CEPEC 11,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CEPEC 12,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CEPEC 13,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CEPEC 14,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CEPEC 15,Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
CEPEC 15,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
CEPEC 16,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CEPEC 17,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth.,
CEPEC 18,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CEPEC 19,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CEPEC 38,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CEPEC 42,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CEPEC 515,Ceratosystis,,susceptible,Branch,Also classed as Very Susceptible based on perithecia production.,SIL03A,,Based on mycelium growth and the production of perithecia.,
CEPEC 74,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CEPEC 86,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CEPEC 89,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CEPEC 90,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
CHU 120 [VEN],Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth and the production of perithecia.,
FSU 7,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
BB 6020 [BR2],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
FSU 727,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
RS 903 [BRA],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
HR 29,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
HR 20,Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
HR 20,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
FADA 18,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
TR 36 [BRA],Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
TR 36 [BRA],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
CSF 22,Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
CSF 22,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
C SUL 3,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
C SUL 7,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
C SUL 9,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
DF 1,Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
DF 1,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
EET 377 [ECU],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
EET 390 [ECU],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
EET 392 [ECU],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
EET 397 [ECU],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
EET 399 [ECU],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
EET 45 [ECU],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
EET 59 [ECU],Ceratosystis,,susceptible,Branch,Classed as Very Susceptible based on mycelium growth,SIL03A,,Based on mycelium growth and the production of perithecia.,
EQX 107 [EQX],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SAN MIGUEL 3360 /3 [CHA],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
FADA 100,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
FF 38,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
FL 16,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
FL 29,Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
FL 29,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
FLN 30,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible based on mycelium growth,SIL03A,,Based on mycelium growth and the production of perithecia.,
FSR 1,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
FSU 1,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible based on mycelium growth,SIL03A,,Based on mycelium growth and the production of perithecia.,
FSU 13,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
FSU 151,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
FSU 77,Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
FSU 77,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
GM 33,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible based on perithecia production.,SIL03A,,Based on mycelium growth and the production of perithecia.,
GU 175 /V,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible based on perithecia production.,SIL03A,,Based on mycelium growth and the production of perithecia.,
GU 225,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
IAC 1,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
ICS 1,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
ICS 1,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible based on mycelium growth,SIL03A,,Based on mycelium growth and the production of perithecia.,
ICS 9,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
ICS 95,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
IMC 67,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
IMC 67,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
IMC 76,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
IMC 47,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth and the production of perithecia.,
JACA,Ceratosystis,,resistant,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
LF 1,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth and the production of perithecia.,
LCT EEN 46,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
LCT EEN 37 /L,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth and the production of perithecia.,
MA 16 [BRA],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
MAN 15 /2 [BRA],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
MO 20,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
MO 98,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
MOCORONGO,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth and the production of perithecia.,
MOQ 2 /16,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth and the production of perithecia.,
MXC 67,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth and the production of perithecia.,
NA 33,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth and the production of perithecia.,
NV 77,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
NV SV-1,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
POUND 4 /B,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
POUND 7,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
PA 107 [PER],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
PA 120 [PER],Ceratosystis,,susceptible,Branch,Classed as Very Susceptible based on perithecia production.,SIL03A,,Based on mycelium growth and the production of perithecia.,
PA 150 [PER],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
PAT 118,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
PAT 84,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
PB 617,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
PH 16 [BRA],Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
PH 16 [BRA],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
POUND 11,Ceratosystis,,susceptible,Branch,Also classed as Very Susceptible based on perithecia production.,SIL03A,,Based on mycelium growth and the production of perithecia.,
PS57 1,Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
PS57 1,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
PS57 111,Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
PS57 111,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
RB 36 [BRA],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
RB 39 [BRA],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
RS 309 [BRA],Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
RS 309 [BRA],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
RS 316 [BRA],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
RT 6 [BRA],Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
RT 6 [BRA],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
RT 9 [BRA],Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
RT 9 [BRA],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
RT 106 [BRA],Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
RT 106 [BRA],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
RV-ID 8,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
RV-ID 12,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SCA 6,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SGU 26,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 105,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 12,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 130,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 15,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 163,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 164,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 180,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on the production of perithecia.,
SIAL 244,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 325,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 407,Ceratosystis,,susceptible,Branch,Also classed as Very Susceptible based on perithecia production.,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 495,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 505,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 512,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 543,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 577,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 578,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 580,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on the production of perithecia.,
SIAL 689,Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
SIAL 689,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
SIAL 698,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 70,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 84,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIAL 910,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth.,
SIAL 93,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 17,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 18,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth.,
SIC 19,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 20,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 21,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 22,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 23,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 23,Ceratosystis,,susceptible,Branch,Also classed as Very Susceptible based on perithecia production.,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 24,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 250,Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
SIC 250,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on the production of perithecia.,
SIC 328,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 329,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 4,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 433,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 439,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 5,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 543,Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth.,
SIC 628,Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 644,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 662,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 680,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 747,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 765,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
SIC 801,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
